NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
ZBED3-AS1	1	LOC728723	
SEMA6D	1	SEMA6D	
IGFBP2	1	IGFBP2	
MITF	1	MITF	
GTF2F1	1	GTF2F1	
GTF2F2	1	GTF2F2	
XIST	1	XIST	
TTPAL	1	TTPAL	
ANKRD36B	1	ANKRD36B	
SEMA7A	1	SEMA7A	
OR2A9P	1	OR2A9P	
ITPR1	1	ITPR1	
RHOBTB3	1	RHOBTB3	
ITPR2	1	ITPR2	
ITPR3	1	ITPR3	
RASAL1	1	RASAL1	
RASAL2	1	RASAL2	
VTCN1	1	VTCN1	
RASAL3	1	RASAL3	
GTF2E1	1	GTF2E1	
GTF2E2	1	GTF2E2	
RHOBTB1	1	RHOBTB1	
RHOBTB2	1	RHOBTB2	
PSAP	1	PSAP	
IGFBP7	1	IGFBP7	
IGFBP6	1	IGFBP6	
ANKRD34A	1	ANKRD34A	
ATP8B4	1	ATP8B4	
SLC37A2	1	SLC37A2	
ANKRD34C	1	ANKRD34C	
ATP8B3	1	ATP8B3	
SLC37A1	1	SLC37A1	
ATP8B2	1	ATP8B2	
ATP8B1	1	ATP8B1	
WFS1	1	WFS1	
NSFL1C	1	NSFL1C	
GON4L	1	GON4L	
SCCPDH	1	SCCPDH	
ESAM	1	ESAM	
RAD9B	1	RAD9B	
RAD9A	1	RAD9A	
FCGR1BP	1	FCGR1B	
LMBR1L	1	LMBR1L	
PSCA	1	PSCA	
RNPEPL1	1	RNPEPL1	
SYCP2	1	SYCP2	
DNALI1	1	DNALI1	
OPA1	1	OPA1	
PSD2	1	PSD2	
OPA3	1	OPA3	
PSD4	1	PSD4	
PSD3	1	PSD3	
HYDIN	1	HYDIN	
SLC37A4	1	SLC37A4	
SLC37A3	1	SLC37A3	
SH3D19	1	SH3D19	
FCGR1CP	1	FCGR1C	
ALMS1P1	1	ALMS1P	
PLPBP	1	PROSC	
RTN4RL2	1	RTN4RL2	
NIPSNAP1	1	NIPSNAP1	
NIPSNAP2	1	GBAS	
PTP4A1	1	PTP4A1	
PTP4A2	1	PTP4A2	
PTP4A3	1	PTP4A3	
RTN4RL1	1	RTN4RL1	
RPL37A	1	RPL37A	
SLC24A2	1	SLC24A2	
GTF2A1	1	GTF2A1	
SLC24A1	1	SLC24A1	
GTF2A2	1	GTF2A2	
SLC24A4	1	SLC24A4	
SLC24A3	1	SLC24A3	
SEMA3C	1	SEMA3C	
SFTPA2	1	SFTPA2	
SEMA3D	1	SEMA3D	
UNC93B1	1	UNC93B1	
SEMA3A	1	SEMA3A	
SEMA3B	1	SEMA3B	
RPL36A	1	RPL36A	
SEMA3G	1	SEMA3G	
SEMA3E	1	SEMA3E	
SEMA3F	1	SEMA3F	
JAKMIP1	1	JAKMIP1	
DPCD	1	DPCD	
LAGE3	1	LAGE3	
JAKMIP3	1	JAKMIP3	
JAKMIP2	1	JAKMIP2	
AP3M2	1	AP3M2	
AP3M1	1	AP3M1	
EEF2KMT	1	FAM86A	
SEMA4A	1	SEMA4A	
SEMA4D	1	SEMA4D	
CDC42BPG	1	CDC42BPG	
SEMA4B	1	SEMA4B	
ADRM1	1	ADRM1	
SEMA4C	1	SEMA4C	
RPL35A	1	RPL35A	
SEMA4F	1	SEMA4F	
RNF32-DT	1	C7orf13	
CDC42BPB	1	CDC42BPB	
CFLAR	1	CFLAR	
SEMA4G	1	SEMA4G	
CDC42BPA	1	CDC42BPA	
TPCN2	1	TPCN2	
TRIT1	1	TRIT1	
TPCN1	1	TPCN1	
RAD52	1	RAD52	
RAD50	1	RAD50	
RAD51	1	RAD51	
SH3D21	1	C1orf113	
CROCC	1	CROCC	
ESF1	1	ESF1	
SFTPA1	1	SFTPA1	
SLC24A5	1	SLC24A5	
CMAS	1	CMAS	
DPH3P1	1	DPH3B	
DPF1	1	DPF1	
DPF2	1	DPF2	
DPF3	1	DPF3	
PTGDS	1	PTGDS	
PTGDR	1	PTGDR	
SLC6A19	1	SLC6A19	
TIPIN	1	TIPIN	
CMC4	1	MTCP1NB	
SLC6A17	1	SLC6A17	
SLC6A16	1	SLC6A16	
CMC2	1	C16orf61	
SLC11A1	1	SLC11A1	
SLC6A15	1	SLC6A15	
CMC1	1	CMC1	
SLC11A2	1	SLC11A2	
SLC6A14	1	SLC6A14	
BOLA1	1	BOLA1	
SLC6A12	1	SLC6A12	
ACTG1P4	1	LOC648740	
CMBL	1	CMBL	
GBGT1	1	GBGT1	
PLPP7	1	PPAPDC3	
PLPP6	1	PPAPDC2	
PLPP5	1	PPAPDC1B	
PLPP4	1	PPAPDC1A	
TCERG1L	1	TCERG1L	
BOLA3	1	BOLA3	
GRWD1	1	GRWD1	
PAPPA	1	PAPPA	
BOLA2	1	BOLA2	
WDPCP	1	C2orf86	
PLPP3	1	PPAP2B	
PLPP2	1	PPAP2C	
LLGL1	1	LLGL1	
PLPP1	1	PPAP2A	
LLGL2	1	LLGL2	
PTGES	1	PTGES	
PTGFR	1	PTGFR	
GYPC	1	GYPC	
LMAN2L	1	LMAN2L	
GYPE	1	GYPE	
MGST3	1	MGST3	
MGST1	1	MGST1	
MGST2	1	MGST2	
NMD3	1	NMD3	
SLC6A20	1	SLC6A20	
PTDSS2	1	PTDSS2	
PTDSS1	1	PTDSS1	
SGPL1	1	SGPL1	
DPH1	1	DPH1	
DPH2	1	DPH2	
LCN12	1	LCN12	
DPH3	1	DPH3	
LCN10	1	LCN10	
DPH5	1	DPH5	
NAALAD2	1	NAALAD2	
DPH6	1	ATPBD4	
DPH7	1	WDR85	
NTSR1	1	NTSR1	
RPL39L	1	RPL39L	
SRPK2	1	SRPK2	
SIGLEC16	1	SIGLEC16	
SRPK3	1	SRPK3	
SIGLEC15	1	SIGLEC15	
SIGLEC14	1	SIGLEC14	
SIGLEC12	1	SIGLEC12	
SIGLEC11	1	SIGLEC11	
SIGLEC10	1	SIGLEC10	
MEMO1	1	MEMO1	
SRPK1	1	SRPK1	
GKAP1	1	GKAP1	
SESTD1	1	SESTD1	
NODAL	1	NODAL	
RYR1	1	RYR1	
DAZAP2	1	DAZAP2	
RYR2	1	RYR2	
DAZAP1	1	DAZAP1	
HILPDA	1	C7orf68	
RYR3	1	RYR3	
GYS1	1	GYS1	
ESM1	1	ESM1	
RPPH1	1	RPPH1	
ZMYM1	1	ZMYM1	
ZMYM2	1	ZMYM2	
ZMYM3	1	ZMYM3	
ZMYM4	1	ZMYM4	
ZMYM5	1	ZMYM5	
ZMYM6	1	ZMYM6	
GAS8-AS1	1	C16orf3	
NME2	1	NME2	
NME3	1	NME3	
AP3B1	1	AP3B1	
NME4	1	NME4	
NME5	1	NME5	
AP3B2	1	AP3B2	
NME1	1	NME1	
CEACAM3	1	CEACAM3	
RAD51B	1	RAD51L1	
CEACAM1	1	CEACAM1	
RAD51D	1	RAD51L3	
RAD51C	1	RAD51C	
ADRB3	1	ADRB3	
CEACAM7	1	CEACAM7	
NME6	1	NME6	
NRN1L	1	NRN1L	
CEACAM6	1	CEACAM6	
NME7	1	NME7	
CEACAM5	1	CEACAM5	
NME8	1	TXNDC3	
CEACAM4	1	CEACAM4	
NME9	1	TXNDC6	
FIBIN	1	FIBIN	
DNASE1L2	1	DNASE1L2	
DNASE1L3	1	DNASE1L3	
DNASE1L1	1	DNASE1L1	
PAPLN	1	PAPLN	
UQCR11	1	UQCR11	
UQCR10	1	UQCR10	
RAD54B	1	RAD54B	
ANKMY2	1	ANKMY2	
ATP5F1A	1	ATP5A1	
ATP5F1B	1	ATP5B	
RAD54L	1	RAD54L	
JHY	1	C11orf63	
LCMT2	1	LCMT2	
LY6G6C	1	LY6G6C	
LCMT1	1	LCMT1	
ANKMY1	1	ANKMY1	
SUZ12	1	SUZ12	
C1GALT1	1	C1GALT1	
AP3D1	1	AP3D1	
ERBIN	1	ERBB2IP	
PRSS30P	1	PRSS30P	
ATP5F1C	1	ATP5C1	
ATP5F1D	1	ATP5D	
ATP5F1E	1	ATP5E	
RAB3GAP2	1	RAB3GAP2	
LY6G5B	1	LY6G5B	
LY6G5C	1	LY6G5C	
ZNF354A	1	ZNF354A	
RAB3GAP1	1	RAB3GAP1	
ZNF354C	1	ZNF354C	
ZNF354B	1	ZNF354B	
ESPN	1	ESPN	
CMIP	1	CMIP	
SYDE2	1	SYDE2	
SYDE1	1	SYDE1	
C14orf132	1	C14orf132	
KNTC1	1	KNTC1	
PSPH	1	PSPH	
MYH15	1	MYH15	
MYH16	1	MYH16	
KCTD1	1	KCTD1	
KCTD2	1	KCTD2	
KCTD3	1	KCTD3	
IPCEF1	1	IPCEF1	
KCTD5	1	KCTD5	
KCTD6	1	KCTD6	
KCTD7	1	KCTD7	
DPM1	1	DPM1	
KCTD8	1	KCTD8	
DPM2	1	DPM2	
KCTD9	1	KCTD9	
DPM3	1	DPM3	
TIPRL	1	TIPRL	
TEDC1	1	C14orf80	
TEDC2	1	C16orf59	
ADRB1	1	ADRB1	
CSF2RB	1	CSF2RB	
ADRB2	1	ADRB2	
AGER	1	AGER	
CSF2RA	1	CSF2RA	
ESS2	1	DGCR14	
DPP3	1	DPP3	
PALM2AKAP2	1	PALM2-AKAP2	
DPP4	1	DPP4	
PDZD4	1	PDZD4	
DPP6	1	DPP6	
DPP7	1	DPP7	
PDZD2	1	PDZD2	
DPP8	1	DPP8	
DPP9	1	DPP9	
CASKIN2	1	CASKIN2	
CASKIN1	1	CASKIN1	
C10orf105	1	C10orf105	
MYH14	1	MYH14	
MYH11	1	MYH11	
MYH10	1	MYH10	
PDZD8	1	PDZD8	
PDZD7	1	PDZD7	
RSPH10B2	1	RSPH10B2	
SMAD2	1	SMAD2	
SMAD1	1	SMAD1	
SMAD4	1	SMAD4	
OPN3	1	OPN3	
PSAPL1	1	PSAPL1	
SMAD3	1	SMAD3	
IFT122	1	IFT122	
SMAD9	1	SMAD9	
SMAD6	1	SMAD6	
ESR1	1	ESR1	
SMAD5	1	SMAD5	
ESR2	1	ESR2	
SMAD7	1	SMAD7	
JMY	1	JMY	
SRPRA	1	SRPR	
SRPRB	1	SRPRB	
RADIL	1	RADIL	
SERTAD4-AS1	1	C1orf133	
BDKRB2	1	BDKRB2	
BDKRB1	1	BDKRB1	
TAS2R5	1	TAS2R5	
PSTK	1	PSTK	
TAS2R4	1	TAS2R4	
PTGIR	1	PTGIR	
PTGIS	1	PTGIS	
LMNTD2	1	C11orf35	
TRNAU1AP	1	TRNAU1AP	
UACA	1	UACA	
NCALD	1	NCALD	
JPX	1	NCRNA00183	
ERBB3	1	ERBB3	
ERBB4	1	ERBB4	
ERBB2	1	ERBB2	
REPS2	1	REPS2	
S1PR1	1	S1PR1	
BPNT2	1	IMPAD1	
BPNT1	1	BPNT1	
C14orf119	1	C14orf119	
S1PR3	2	C9orf47:S1PR3	
NCAM1	1	NCAM1	
ROMO1	1	ROMO1	
NCAM2	1	NCAM2	
S1PR2	1	S1PR2	
S1PR5	1	S1PR5	
S1PR4	1	S1PR4	
REPS1	1	REPS1	
LGI1	1	LGI1	
RWDD1	1	RWDD1	
RWDD3	1	RWDD3	
RWDD4	1	RWDD4A	
NEGR1	1	NEGR1	
LGI4	1	LGI4	
LGI3	1	LGI3	
PRAF2	1	PRAF2	
KDF1	1	C1orf172	
LGI2	1	LGI2	
NAP1L3	1	NAP1L3	
NAP1L2	1	NAP1L2	
NAP1L1	1	NAP1L1	
SGPP2	1	SGPP2	
NAP1L5	1	NAP1L5	
SGPP1	1	SGPP1	
NAP1L4	1	NAP1L4	
FMNL3	1	FMNL3	
FMNL1	1	FMNL1	
FMNL2	1	FMNL2	
XPNPEP1	1	XPNPEP1	
XPNPEP2	1	XPNPEP2	
XPNPEP3	1	XPNPEP3	
ALOX5AP	1	ALOX5AP	
ZPR1	1	ZNF259	
ITSN2	1	ITSN2	
JRK	1	JRK	
IFT172	1	IFT172	
ITSN1	1	ITSN1	
RPSA2	1	RPSAP58	
FAM110A	1	FAM110A	
ZC3H12D	1	ZC3H12D	
ZC3H12C	1	ZC3H12C	
FAM110D	1	GRRP1	
FAM110C	1	FAM110C	
ZC3H12B	1	ZC3H12B	
FAM110B	1	FAM110B	
ZC3H12A	1	ZC3H12A	
SMCO3	1	C12orf69	
ANKFY1	1	ANKFY1	
SMCO2	1	C12orf70	
CKMT1B	1	CKMT1B	
SMCO4	1	C11orf75	
HEMK1	1	HEMK1	
CXADR	1	CXADR	
CH25H	1	CH25H	
LRATD1	1	FAM84A	
MTHFD1	1	MTHFD1	
EWSR1	1	EWSR1	
LRATD2	1	FAM84B	
MTHFD2	1	MTHFD2	
ZC3H11A	1	ZC3H11A	
JTB	1	JTB	
MPPE1	1	MPPE1	
OPTN	1	OPTN	
MEPCE	1	MEPCE	
LYPD1	1	LYPD1	
LYPD2	1	LYPD2	
LYPD3	1	LYPD3	
LYPD5	1	LYPD5	
LYPD6	1	LYPD6	
DEDD2	1	DEDD2	
AGMO	1	TMEM195	
LTA4H	1	LTA4H	
HEXIM1	1	HEXIM1	
JAG2	1	JAG2	
HEXIM2	1	HEXIM2	
HLA-DRB6	1	HLA-DRB6	
HLA-DRB5	1	HLA-DRB5	
JUN	1	JUN	
JAG1	1	JAG1	
JUP	1	JUP	
EIF2AK1	1	EIF2AK1	
EIF2AK3	1	EIF2AK3	
EIF2AK2	1	EIF2AK2	
LNPEP	1	LNPEP	
EIF2AK4	1	EIF2AK4	
FAM111B	1	FAM111B	
FAM111A	1	FAM111A	
AGO3	1	EIF2C3	
AGO4	1	EIF2C4	
AGO1	1	EIF2C1	
AGO2	1	EIF2C2	
NMT1	1	NMT1	
NMT2	1	NMT2	
HLA-DRB1	1	HLA-DRB1	
PSME3IP1	1	FAM192A	
LGMN	1	LGMN	
DPYS	1	DPYS	
KDM8	1	JMJD5	
EVPLL	1	EVPLL	
TFCP2L1	1	TFCP2L1	
NHSL2	1	NHSL2	
NHSL1	1	NHSL1	
JAK2	1	JAK2	
JAK3	1	JAK3	
JAK1	1	JAK1	
CHST8	1	CHST8	
DUSP4	1	DUSP4	
CHST9	1	CHST9	
DUSP5	1	DUSP5	
MAMDC4	1	MAMDC4	
CHST6	1	CHST6	
DUSP2	1	DUSP2	
CHST7	1	CHST7	
DUSP3	1	DUSP3	
CRPPA	1	ISPD	
DUSP1	1	DUSP1	
IFT140	1	IFT140	
MAMDC2	1	MAMDC2	
DUSP8	1	DUSP8	
DUSP9	1	DUSP9	
DUSP6	1	DUSP6	
DUSP7	1	DUSP7	
SDHAF2	1	SDHAF2	
SDHAF3	1	ACN9	
AGPS	1	AGPS	
DPYD	1	DPYD	
SDHAF1	1	SDHAF1	
CHST1	1	CHST1	
SDHAF4	1	C6orf57	
CHST4	1	CHST4	
CHST5	1	CHST5	
CHST2	1	CHST2	
CHST3	1	CHST3	
TP53I13	1	TP53I13	
SPESP1	1	SPESP1	
ABRACL	1	C6orf115	
FAM117B	1	FAM117B	
FAM117A	1	FAM117A	
AGR2	2	AGR2:AG2	
AGR3	1	AGR3	
TP53I11	1	TP53I11	
JAM2	1	JAM2	
JAM3	1	JAM3	
ATAD1	1	ATAD1	
ATAD5	1	ATAD5	
CKMT1A	1	CKMT1A	
ATAD2	1	ATAD2	
MATCAP2	1	KIAA0895	
DCBLD1	1	DCBLD1	
DCBLD2	1	DCBLD2	
CCDC9	1	CCDC9	
CCDC8	1	CCDC8	
CCDC7	2	CCDC7:C10orf68	
CCDC6	1	CCDC6	
AGRP	1	AGRP	
CCDC3	1	CCDC3	
AGRN	1	AGRN	
LGR6	1	LGR6	
LGR5	1	LGR5	
LGR4	1	LGR4	
GZF1	1	GZF1	
EFEMP2	1	EFEMP2	
CYSRT1	1	C9orf169	
EFEMP1	1	EFEMP1	
DKFZP434A062	1	LOC26102	
MRPL20-AS1	1	LOC148413	
KMT5B	1	SUV420H1	
KMT5A	1	SETD8	
PCYT2	1	PCYT2	
KMT5C	1	SUV420H2	
UGT2B15	1	UGT2B15	
FAM118A	1	FAM118A	
ATP11C	1	ATP11C	
ATP11B	1	ATP11B	
ATP11A	1	ATP11A	
FAM118B	1	FAM118B	
JAML	1	AMICA1	
LGSN	1	LGSN	
SRSF2	1	SFRS2	
SRSF3	1	SFRS3	
SRSF4	1	SFRS4	
PTPRCAP	1	PTPRCAP	
SRSF5	1	SFRS5	
SRSF6	1	SFRS6	
SRSF7	1	SFRS7	
SRSF8	1	SFRS2B	
SRSF9	1	SFRS9	
KMT2E	1	MLL5	
KMT2D	2	MLL2:MLL4	
KMT2A	1	MLL	
UQCRB	1	UQCRB	
KMT2C	1	MLL3	
UAP1	1	UAP1	
UQCRH	1	UQCRH	
ARL17B	1	ARL17B	
ARL17A	1	ARL17A	
LOXHD1	1	LOXHD1	
KHDC1	2	KHDC1:C6orf147	
AP4S1	1	AP4S1	
KHDC4	1	KIAA0907	
KDSR	1	KDSR	
NHSL3	1	KIAA1522	
BFSP1	1	BFSP1	
SH3BP5L	1	SH3BP5L	
UQCRQ	1	UQCRQ	
ADSS1	1	ADSSL1	
ADSS2	1	ADSS	
CLPTM1L	1	CLPTM1L	
PTEN	1	PTEN	
ETFA	1	ETFA	
ETFB	1	ETFB	
RESF1	1	C12orf35	
AP4M1	1	AP4M1	
PTER	1	PTER	
NKX3-2	1	NKX3-2	
NKX3-1	1	NKX3-1	
VPS9D1	1	C16orf7	
ETF1	1	ETF1	
SMCR8	1	SMCR8	
ATP10D	1	ATP10D	
SRSF1	1	SFRS1	
ATP10B	1	ATP10B	
ATP10A	1	ATP10A	
MTHFSD	1	MTHFSD	
ARL13B	1	ARL13B	
NNAT	1	NNAT	
E2F1	1	E2F1	
E2F2	1	E2F2	
E2F3	1	E2F3	
E2F4	1	E2F4	
E2F5	1	E2F5	
ACVR2B-AS1	1	LOC100128640	
E2F6	1	E2F6	
E2F7	1	E2F7	
E2F8	1	E2F8	
STARD7-AS1	1	LOC285033	
CNBP	1	CNBP	
GZMA	1	GZMA	
STYK1	1	STYK1	
MAP1LC3B2	1	MAP1LC3B2	
GZMB	1	GZMB	
GZMH	1	GZMH	
GZMK	1	GZMK	
GZMM	1	GZMM	
OCIAD1	1	OCIAD1	
KCP	1	KCP	
OCIAD2	1	OCIAD2	
ODAD1	1	CCDC114	
ODAD3	1	CCDC151	
ODAD2	1	ARMC4	
ODAD4	1	TTC25	
ICAM2	1	ICAM2	
ICAM3	1	ICAM3	
ICAM4	1	ICAM4	
ICAM5	1	ICAM5	
IKZF1	1	IKZF1	
IKZF2	1	IKZF2	
IKZF3	1	IKZF3	
IKZF4	1	IKZF4	
ICAM1	1	ICAM1	
IKZF5	1	IKZF5	
PLEKHM1P1	1	PLEKHM1P	
ANPEP	1	ANPEP	
PI4KAP1	1	PI4KAP1	
PI4KAP2	1	PI4KAP2	
KDR	1	KDR	
C6orf120	1	C6orf120	
SNHG15	1	C7orf40	
GAREM1	1	FAM59A	
KEL	1	KEL	
SNHG12	1	SNHG12	
SNHG11	1	SNHG11	
SNHG10	1	SNHG10	
TMEM63A	1	TMEM63A	
TMEM63B	1	TMEM63B	
TMEM63C	1	TMEM63C	
WWC2-AS2	1	C4orf38	
MED12L	1	MED12L	
SNHG17	1	LOC388796	
SNHG20	1	C17orf86	
DECR2	1	DECR2	
DECR1	1	DECR1	
PTK6	1	PTK6	
CNFN	1	CNFN	
BRI3BP	1	BRI3BP	
SNHG29	1	NCRNA00188	
PTK2	1	PTK2	
SNHG28	1	C1orf204	
MED13L	1	MED13L	
SPMIP4	1	C7orf31	
NDUFAF8	1	C17orf89	
SPMIP6	1	C9orf24	
NDUFAF6	1	C8orf38	
NDUFAF7	1	C2orf56	
PTK7	1	PTK7	
SNHG32	1	C6orf48	
NDUFAF4	1	NDUFAF4	
NDUFAF5	1	C20orf7	
NDUFAF2	1	NDUFAF2	
NDUFAF3	1	NDUFAF3	
NDUFAF1	1	NDUFAF1	
MON1A	1	MON1A	
MON1B	1	MON1B	
SPAG16	1	SPAG16	
SPAG17	1	SPAG17	
AP4E1	1	AP4E1	
SPATC1L	1	C21orf56	
KHK	1	KHK	
PTMS	1	PTMS	
PPP3CA	1	PPP3CA	
SYNCRIP	1	SYNCRIP	
PPP3CB	1	PPP3CB	
PPP3CC	1	PPP3CC	
UIMC1	1	UIMC1	
PHGDH	1	PHGDH	
C6orf163	1	C6orf163	
CTTNBP2NL	1	CTTNBP2NL	
KIN	1	KIN	
ANKFN1	1	ANKFN1	
ARHGEF9	1	ARHGEF9	
KIT	1	KIT	
ARHGEF3	1	ARHGEF3	
ARHGEF4	1	ARHGEF4	
ARHGEF1	1	ARHGEF1	
ARHGEF2	1	ARHGEF2	
ARHGEF7	1	ARHGEF7	
AFAP1-AS1	1	LOC84740	
KIZ	1	PLK1S1	
PTMA	1	PTMA	
ARHGEF5	1	ARHGEF5	
ARHGEF6	1	ARHGEF6	
SOX2-OT	1	SOX2OT	
AHCY	1	AHCY	
COL6A4P2	1	COL6A4P2	
PTPA	1	PPP2R4	
AHSA2P	1	AHSA2	
FILIP1L	1	FILIP1L	
C6orf141	1	C6orf141	
SPRYD3	1	SPRYD3	
SPRYD4	1	SPRYD4	
SPRYD7	1	C13orf1	
KAZALD1	1	KAZALD1	
RP1L1	1	RP1L1	
SGSM1	1	SGSM1	
SGSM3	1	SGSM3	
NDUFAB1	1	NDUFAB1	
SEMG1	1	SEMG1	
SGSM2	1	SGSM2	
NEK10	1	NEK10	
C6orf136	1	C6orf136	
C6orf132	1	C6orf132	
NEK11	1	NEK11	
KLB	1	KLB	
PRDM8	1	PRDM8	
PRDM4	1	PRDM4	
PRDM6	1	PRDM6	
PRDM5	1	PRDM5	
PRDM2	1	PRDM2	
PRDM1	1	PRDM1	
CELSR1	1	CELSR1	
CELSR2	1	CELSR2	
ETS1	1	ETS1	
CELSR3	1	CELSR3	
ETS2	1	ETS2	
LINC00938	1	LOC400027	
ZNF252P-AS1	1	C8orf77	
GNPTAB	1	GNPTAB	
LINC00937	1	LOC389634	
FAM3B	1	FAM3B	
LINC00930	1	LOC100144604	
FAM3A	1	FAM3A	
FAM3D	1	FAM3D	
FAM3C	1	FAM3C	
MMGT1	1	MMGT1	
ACOT11	1	ACOT11	
PHGR1	1	PHGR1	
ACOT13	1	ACOT13	
ZNF322P1	1	ZNF322B	
KMO	1	KMO	
CCNB1IP1	1	CCNB1IP1	
SLFN12	1	SLFN12	
SLFN13	1	SLFN13	
SLFN11	1	SLFN11	
TYROBP	1	TYROBP	
LINC00924	1	LOC145820	
LINC00926	1	LOC283663	
LINC00922	1	LOC283867	
NNMT	1	NNMT	
TSG101	1	TSG101	
PLGRKT	1	C9orf46	
NDUFB10	1	NDUFB10	
UBA7	1	UBA7	
NDUFB11	1	NDUFB11	
UBA6	1	UBA6	
SLC41A2	1	SLC41A2	
UBA5	1	UBA5	
SLC41A3	1	SLC41A3	
SLC41A1	1	SLC41A1	
INAVA	1	C1orf106	
CNN3	1	CNN3	
CNN2	1	CNN2	
CNN1	1	CNN1	
CNMD	1	LECT1	
TCAF2	1	FAM115C	
TCAF1	1	FAM115A	
SUGT1P1	1	SUGT1P1	
SUGT1P3	1	SUGT1L1	
AP4B1	1	AP4B1	
AHI1	1	AHI1	
UVSSA	1	KIAA1530	
UBA3	1	UBA3	
UBA2	1	UBA2	
UBA1	1	UBA1	
PODXL2	1	PODXL2	
LMNB2	1	LMNB2	
LTB4R	1	LTB4R	
LMNB1	1	LMNB1	
LIAT1	1	C17orf97	
ACOXL	1	ACOXL	
MKKS	1	MKKS	
RNF217-AS1	1	STL	
ETV1	1	ETV1	
ETV2	1	ETV2	
ETV3	1	ETV3	
ETV4	1	ETV4	
ETV5	1	ETV5	
ETV6	1	ETV6	
ETV7	1	ETV7	
ACOX2	1	ACOX2	
ACOX1	1	ACOX1	
ACOX3	1	ACOX3	
SFSWAP	1	SFRS8	
NT5C2	1	NT5C2	
CNR2	1	CNR2	
CNR1	1	CNR1	
FAM241B	1	C10orf35	
FAM241A	1	C4orf32	
BNIP1	1	BNIP1	
BNIP2	1	BNIP2	
PTK2B	1	PTK2B	
LINC00910	1	LOC100130581	
TRDMT1	1	TRDMT1	
NIPSNAP3B	2	NIPSNAP3B:LOC286367	
NIPSNAP3A	1	NIPSNAP3A	
URGCP	1	URGCP	
BNIP5	1	C6orf222	
BNIP3	1	BNIP3	
SDHAP1	1	SDHAP1	
SDHAP4	1	LOC220729	
YY1AP1	1	YY1AP1	
SDHAP2	1	SDHAP2	
MIR9-3HG	1	LOC254559	
SDHAP3	1	SDHAP3	
TSPO2	1	TSPO2	
ERCC3	1	ERCC3	
ERCC4	1	ERCC4	
COL7A1	1	COL7A1	
ERCC1	1	ERCC1	
ERCC2	1	ERCC2	
ERCC8	1	ERCC8	
ERCC5	1	ERCC5	
PTX3	1	PTX3	
ERCC6	1	ERCC6	
BNIPL	1	BNIPL	
PI4K2B	1	PI4K2B	
CNTF	1	CNTF	
DQX1	1	DQX1	
MRGPRF	1	MRGPRF	
WDR86	1	WDR86	
WDR83	1	WDR83	
MRGPRE	1	MRGPRE	
WDR89	1	WDR89	
WDR88	1	WDR88	
CNST	1	CNST	
WDR93	1	WDR93	
CIRBP-AS1	1	C19orf23	
WDR90	1	WDR90	
WDR91	1	WDR91	
LUC7L	1	LUC7L	
LINC00899	1	LOC100271722	
LINC00896	1	LOC150197	
WDR74	1	WDR74	
WDR75	1	WDR75	
WDR72	1	WDR72	
WDR73	1	WDR73	
HCFC2	1	HCFC2	
KNSTRN	1	C15orf23	
WDR76	1	WDR76	
HCFC1	1	HCFC1	
WDR77	1	WDR77	
WDR81	1	WDR81	
WDR82	1	WDR82	
PARD3	1	PARD3	
LINC00887	1	LOC100131551	
LINC00882	1	LOC100302640	
PI4K2A	1	PI4K2A	
BCL10	1	BCL10	
WDR62	1	WDR62	
BLOC1S4	1	CNO	
XKRX	1	XKRX	
BLOC1S5	1	MUTED	
FAM124B	1	FAM124B	
BLOC1S6	1	PLDN	
FAM124A	1	FAM124A	
WDR70	1	WDR70	
BLOC1S1	1	BLOC1S1	
BLOC1S2	1	BLOC1S2	
BLOC1S3	1	BLOC1S3	
HLA-DQA2	1	HLA-DQA2	
HLA-DQA1	1	HLA-DQA1	
LHPP	1	LHPP	
NDFIP2	1	NDFIP2	
RPL23AP7	1	RPL23AP7	
NDFIP1	1	NDFIP1	
WDR59	1	WDR59	
WDR53	1	WDR53	
WDR54	1	WDR54	
WDR55	1	WDR55	
XKR8	1	XKR8	
XKR9	1	XKR9	
ARL2BP	1	ARL2BP	
MKS1	1	MKS1	
WDR5B	1	WDR5B	
XKR4	1	XKR4	
XKR6	1	XKR6	
XKR5	1	XKR5	
FANK1	1	FANK1	
WDR47	1	WDR47	
WDR48	1	WDR48	
PHF20	1	PHF20	
PHF23	1	PHF23	
WDR41	1	WDR41	
WDR45	1	WDR45	
WDR46	1	WDR46	
WDR43	1	WDR43	
WDR44	1	WDR44	
IFIH1	1	IFIH1	
UBL5	1	UBL5	
UBL3	1	UBL3	
PHF24	1	KIAA1045	
RAB5IF	1	C20orf24	
LINC00852	1	C3orf42	
UBL7	1	UBL7	
HELLS	1	HELLS	
WDR36	1	WDR36	
WDR37	1	WDR37	
AHSG	1	AHSG	
WDR31	1	WDR31	
WDR35	1	WDR35	
WDR33	1	WDR33	
KIFC2	1	KIFC2	
KIFBP	1	KIAA1279	
KIFC1	1	KIFC1	
LINC00847	1	LOC729678	
AHRR	1	AHRR	
KIFC3	1	KIFC3	
HLA-DQB2	1	HLA-DQB2	
HLA-DQB1	1	HLA-DQB1	
WDR27	1	WDR27	
WDR25	1	WDR25	
WDR26	1	WDR26	
AP5Z1	1	KIAA0415	
WDR20	1	WDR20	
WDR24	1	WDR24	
SNORD116-4	1	SNORD116-4	
PPP1R2	1	PPP1R2	
